naics_title,occ_title,state,amount_employed,annual_mean_wage,hourly_mean_wage
Cross-industry,Aerospace Engineers,US,"68,440","$141,180 ",$67.88 
Cross-industry,Agricultural Engineers,US,"1,680","$84,240 ",$40.50 
Cross-industry,Agricultural Engineers,US,"1,680","$84,240 ",$40.50 
Cross-industry,Bioengineers and Biomedical Engineers,US,"21,860","$115,020 ",$55.30 
Cross-industry,Bioengineers and Biomedical Engineers,US,"21,860","$115,020 ",$55.30 
Cross-industry,Chemical Engineers,US,"20,330","$128,430 ",$61.75 
Cross-industry,Chemical Engineers,US,"20,330","$128,430 ",$61.75 
Cross-industry,Civil Engineers,US,"355,410","$107,050 ",$51.47 
Cross-industry,Civil Engineers,US,"355,410","$107,050 ",$51.47 
Cross-industry,Computer Hardware Engineers,US,"75,710","$156,770 ",$75.37 
Cross-industry,Computer Hardware Engineers,US,"75,710","$156,770 ",$75.37 
Cross-industry,Electrical and Electronics Engineers,US,"282,740","$124,810 ",$60.00 
Cross-industry,Electrical Engineers,US,"188,790","$120,980 ",$58.16 
Cross-industry,"Electronics Engineers, Except Computer",US,"93,940","$132,500 ",$63.70 
Cross-industry,Environmental Engineers,US,"37,950","$110,570 ",$53.16 
Cross-industry,Environmental Engineers,US,"37,950","$110,570 ",$53.16 
Cross-industry,"Industrial Engineers, Including Health and Safety",US,"373,440","$108,260 ",$52.05 
Cross-industry,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",US,"23,220","$113,770 ",$54.70 
Cross-industry,Industrial Engineers,US,"350,230","$107,900 ",$51.87 
Cross-industry,Marine Engineers and Naval Architects,US,"8,440","$116,680 ",$56.10 
Cross-industry,Marine Engineers and Naval Architects,US,"8,440","$116,680 ",$56.10 
Cross-industry,Materials Engineers,US,"22,770","$116,380 ",$55.95 
Cross-industry,Materials Engineers,US,"22,770","$116,380 ",$55.95 
Cross-industry,Mechanical Engineers,US,"286,760","$110,080 ",$52.92 
Cross-industry,Mechanical Engineers,US,"286,760","$110,080 ",$52.92 
Cross-industry,"Mining and Geological Engineers, Including Mining Safety Engineers",US,"6,770","$108,940 ",$52.37 
Cross-industry,"Mining and Geological Engineers, Including Mining Safety Engineers",US,"6,770","$108,940 ",$52.37 
Cross-industry,Nuclear Engineers,US,"14,740","$134,980 ",$64.89 
Cross-industry,Nuclear Engineers,US,"14,740","$134,980 ",$64.89 
Cross-industry,Petroleum Engineers,US,"18,970","$153,560 ",$73.83 
Cross-industry,Petroleum Engineers,US,"18,970","$153,560 ",$73.83 
Cross-industry,Miscellaneous Engineers,US,"150,750","$121,720 ",$58.52 
Cross-industry,"Engineers, All Other",US,"150,750","$121,720 ",$58.52 
Cross-industry,"Drafters, Engineering Technicians, and Mapping Technicians",US,"623,870","$71,540 ",$34.39 
Cross-industry,Drafters,US,"185,470","$70,760 ",$34.02 
Cross-industry,Architectural and Civil Drafters,US,"109,550","$68,860 ",$33.11 
Cross-industry,Electrical and Electronics Drafters,US,"20,020","$77,960 ",$37.48 
Cross-industry,Mechanical Drafters,US,"39,900","$74,040 ",$35.59 
Cross-industry,"Drafters, All Other",US,"16,010","$66,530 ",$31.99 
Cross-industry,"Engineering Technologists and Technicians, Except Drafters",US,"381,680","$74,100 ",$35.63 
Cross-industry,Aerospace Engineering and Operations Technologists and Technicians,US,"9,060","$86,330 ",$41.50 
Cross-industry,Civil Engineering Technologists and Technicians,US,"62,130","$68,450 ",$32.91 
Cross-industry,Electrical and Electronic Engineering Technologists and Technicians,US,"92,710","$78,580 ",$37.78 
Cross-industry,Electro-Mechanical and Mechatronics Technologists and Technicians,US,"14,680","$75,710 ",$36.40 
Cross-industry,Environmental Engineering Technologists and Technicians,US,"12,500","$63,070 ",$30.32 
Cross-industry,Industrial Engineering Technologists and Technicians,US,"73,410","$69,780 ",$33.55 
Cross-industry,Mechanical Engineering Technologists and Technicians,US,"37,450","$72,450 ",$34.83 
Cross-industry,Calibration Technologists and Technicians,US,"15,320","$71,080 ",$34.18 
Cross-industry,"Engineering Technologists and Technicians, Except Drafters, All Other",US,"64,410","$79,740 ",$38.34 
Cross-industry,Surveying and Mapping Technicians,US,"56,720","$56,890 ",$27.35 
Cross-industry,Surveying and Mapping Technicians,US,"56,720","$56,890 ",$27.35 
Cross-industry,"Life, Physical, and Social Science Occupations",US,"1,446,770","$89,690 ",$43.12 
Cross-industry,Life Scientists,US,"374,670","$101,980 ",$49.03 
Cross-industry,Agricultural and Food Scientists,US,"33,440","$88,590 ",$42.59 
Cross-industry,Animal Scientists,US,"2,470","$104,970 ",$50.47 
Cross-industry,Food Scientists and Technologists,US,"14,370","$92,190 ",$44.32 
Cross-industry,Soil and Plant Scientists,US,"16,600","$83,040 ",$39.92 
Cross-industry,Biological Scientists,US,"130,910","$100,730 ",$48.43 
Cross-industry,Biochemists and Biophysicists,US,"34,520","$115,570 ",$55.56 
Cross-industry,Microbiologists,US,"19,760","$95,200 ",$45.77 
